time,domain,src_ip,dst_ip
2005-03-30 08:47:46.496046,google.com,192.168.170.8,192.168.170.20
2005-03-30 08:47:46.496576,google.com,192.168.170.20,192.168.170.8
2005-03-30 08:47:50.501268,google.com,192.168.170.8,192.168.170.20
2005-03-30 08:47:51.333401,google.com,192.168.170.20,192.168.170.8
2005-03-30 08:47:59.313231,google.com,192.168.170.8,192.168.170.20
2005-03-30 08:47:59.452255,google.com,192.168.170.20,192.168.170.8
2005-03-30 08:48:07.320873,104.9.192.66.in-addr.arpa,192.168.170.8,192.168.170.20
2005-03-30 08:48:07.321379,104.9.192.66.in-addr.arpa,192.168.170.20,192.168.170.8
2005-03-30 08:49:18.685951,www.netbsd.org,192.168.170.8,192.168.170.20
2005-03-30 08:49:18.734862,www.netbsd.org,192.168.170.20,192.168.170.8
2005-03-30 08:49:35.461181,www.netbsd.org,192.168.170.8,192.168.170.20
2005-03-30 08:49:35.698849,www.netbsd.org,192.168.170.20,192.168.170.8
2005-03-30 08:50:35.523440,www.netbsd.org,192.168.170.8,192.168.170.20
2005-03-30 08:50:35.523827,www.netbsd.org,192.168.170.20,192.168.170.8
2005-03-30 08:50:44.735890,www.google.com,192.168.170.8,192.168.170.20
2005-03-30 08:50:44.752428,www.google.com,192.168.170.20,192.168.170.8
2005-03-30 08:50:54.349862,www.l.google.com,192.168.170.8,192.168.170.20
2005-03-30 08:50:54.366527,www.l.google.com,192.168.170.20,192.168.170.8
2005-03-30 08:51:35.204348,www.example.com,192.168.170.8,192.168.170.20
2005-03-30 08:51:35.437491,www.example.com,192.168.170.20,192.168.170.8
2005-03-30 08:51:46.819984,www.example.notginh,192.168.170.8,192.168.170.20
2005-03-30 08:51:47.032976,www.example.notginh,192.168.170.20,192.168.170.8
2005-03-30 08:52:17.660780,www.isc.org,192.168.170.8,192.168.170.20
2005-03-30 08:52:17.733384,www.isc.org,192.168.170.20,192.168.170.8
2005-03-30 08:52:17.737204,1.0.0.127.in-addr.arpa,192.168.170.8,192.168.170.20
2005-03-30 08:52:17.737792,1.0.0.127.in-addr.arpa,192.168.170.20,192.168.170.8
2005-03-30 08:52:17.740166,isc.org,192.168.170.8,192.168.170.20
2005-03-30 08:52:17.755930,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.utelsystems.local,192.168.170.56,217.13.4.24
2005-03-30 08:52:17.758453,isc.org,192.168.170.20,192.168.170.8
2005-03-30 08:52:17.775741,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.utelsystems.local,217.13.4.24,192.168.170.56
2005-03-30 08:52:17.776396,_ldap._tcp.dc._msdcs.utelsystems.local,192.168.170.56,217.13.4.24
2005-03-30 08:52:17.793697,_ldap._tcp.dc._msdcs.utelsystems.local,217.13.4.24,192.168.170.56
2005-03-30 08:52:17.794240,_ldap._tcp.05b5292b-34b8-4fb7-85a3-8beef5fd2069.domains._msdcs.utelsystems.local,192.168.170.56,217.13.4.24
2005-03-30 08:52:17.813924,_ldap._tcp.05b5292b-34b8-4fb7-85a3-8beef5fd2069.domains._msdcs.utelsystems.local,217.13.4.24,192.168.170.56
2005-03-30 08:52:17.915705,GRIMM.utelsystems.local,192.168.170.56,217.13.4.24
2005-03-30 08:52:17.932629,GRIMM.utelsystems.local,217.13.4.24,192.168.170.56
2005-03-30 08:52:25.357346,GRIMM.utelsystems.local,192.168.170.56,217.13.4.24
2005-03-30 08:52:25.375359,GRIMM.utelsystems.local,217.13.4.24,192.168.170.56
